date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:05	210/210	---M--	200	added ('OK')	image/png	etag:%227b81c8-d2-44cc7cd18cc80%22	http://www.geomundus.org/templates/ja_purity/images/user-reset.png	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/images/user-reset.png	(from )
13:06:06	198/198	---M--	200	added ('OK')	image/png	etag:%227b8197-c6-44cc7cd18cc80%22	http://www.geomundus.org/templates/ja_purity/images/user-decrease.png	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/images/user-decrease.png	(from )
13:06:06	1386/1386	---M-Z	403	error ('Forbidden')	text/html	date:Wed,%2005%20Jun%202013%2011:06:06%20GMT	http://www.geomundus.org/index.php/home/registration	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/home/registration	(from )
13:06:07	22069/22069	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:07%20GMT	http://www.geomundus.org/index.php/home/contact	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/home/contact.html	(from )
13:06:07	22182/22182	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:07%20GMT	http://www.geomundus.org/index.php/previous-editions	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/previous-editions.html	(from )
13:06:08	74434/74434	---M--	200	added ('OK')	application/javascript	etag:%22124006-122c2-476a87cd8aa00%22	http://www.geomundus.org/media/system/js/mootools.js	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/media/system/js/mootools.js	(from )
13:06:08	20233/20233	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:08%20GMT	http://www.geomundus.org/index.php/previous-editions/how-to-participate	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/previous-editions/how-to-participate.html	(from )
13:06:09	21687/21687	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:09%20GMT	http://www.geomundus.org/index.php/previous-editions/previous-editions	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/previous-editions/previous-editions.html	(from )
13:06:09	21837/21837	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:09%20GMT	http://www.geomundus.org/index.php/previous-editions/promotional-activities	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/previous-editions/promotional-activities.html	(from )
13:06:10	57441/57441	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:10%20GMT	http://www.geomundus.org/index.php/program	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/program.html	(from )
13:06:10	71868/71868	---M--	200	added ('OK')	image/jpeg	etag:%225540da-118bc-4c428f80a4080%22	http://www.geomundus.org/templates/ja_purity/images/header/header8.jpg	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/images/header/header8.jpg	(from )
13:06:11	27136/27136	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:11%20GMT	http://www.geomundus.org/index.php/program/sessions	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/program/sessions.html	(from )
13:06:11	34149/34149	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:11%20GMT	http://www.geomundus.org/index.php/program/keynote-speakers	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/program/keynote-speakers.html	(from )
13:06:12	21121/21121	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:12%20GMT	http://www.geomundus.org/index.php/program/participants	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/program/participants.html	(from )
13:06:13	23318/23318	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:13%20GMT	http://www.geomundus.org/index.php/program/publications	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/program/publications.html	(from )
13:06:13	24252/24252	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:13%20GMT	http://www.geomundus.org/index.php/submisions	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/submisions.html	(from )
13:06:14	35582/35582	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:14%20GMT	http://www.geomundus.org/index.php/submisions/guidelines	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/submisions/guidelines.html	(from )
13:06:15	25310/25310	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:15%20GMT	http://www.geomundus.org/index.php/location	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/location.html	(from )
13:06:16	28367/28367	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:16%20GMT	http://www.geomundus.org/index.php/location/how-to-get-there	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/location/how-to-get-there.html	(from )
13:06:16	20375/20375	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:16%20GMT	http://www.geomundus.org/index.php/location/accomodation	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/location/accomodation.html	(from )
13:06:17	24906/24906	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:17%20GMT	http://www.geomundus.org/index.php/sponsors	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/sponsors.html	(from )
13:06:17	19595/19595	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:17%20GMT	http://www.geomundus.org/index.php/geodroid	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/geodroid.html	(from )
13:06:18	19304/19304	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:18%20GMT	http://www.geomundus.org/index.php/photos/geomundus-2012	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/photos/geomundus-2012.html	(from )
13:06:19	21162/21162	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:19%20GMT	http://www.geomundus.org/index.php/ifgi-photo-competition	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/ifgi-photo-competition.html	(from )
13:06:19	16438/16438	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:19%20GMT	http://www.geomundus.org/index.php/component/content/article/1-home/1-geomundus-2012	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/component/content/article/1-home/1-geomundus-2012.html	(from )
13:06:20	14884/14884	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:20%20GMT	http://www.geomundus.org/index.php/component/content/article/1-home/15-why-participate-in-geomundus-2012	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/component/content/article/1-home/15-why-participate-in-geomundus-2012.html	(from )
13:06:20	14289/14289	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:20%20GMT	http://www.geomundus.org/index.php/component/content/article/1-home/16-who-should-participate-in-geomundus-2012	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/component/content/article/1-home/16-who-should-participate-in-geomundus-2012.html	(from )
13:06:21	175022/175022	---M-Z	200	added ('OK')	application/x-javascript	etag:%22fe069688f585ad7f859ffb9d1db43b50%22	http://connect.facebook.net/en_US/all.js	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/en_US/all.js	(from )
13:06:23	14164/14164	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:23%20GMT	http://www.geomundus.org/index.php/component/user/reset	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/component/user/reset.html	(from )
